source,n_nodes,n_edges,density,avg_degree,degree_gini,degree_entropy,n_components,giant_cc_ratio,avg_shortest_path_gcc,diameter_gcc,avg_clustering,assortativity,modularity,n_communities
2507.06310_graph,45,75,0.07575757575757576,3.3333333333333335,0.0,5.25116100873268,7,0.3111111111111111,1.8571428571428572,4,0.41590828924162254,-0.16053980458113074,0.7328908370770815,8
2506.20640_graph,51,110,0.08627450980392157,4.313725490196078,0.0,5.18591917415614,3,0.8823529411764706,2.7808080808080806,6,0.4247972544647736,-0.2790314927306383,0.48155184892558167,7
2505.04638_graph,78,187,0.06227106227106227,4.794871794871795,0.0,5.8421936869657545,5,0.8205128205128205,3.1731150793650795,7,0.44325342050097943,0.10615864711145674,0.6245858003190924,9
2507.13874_graph,14,29,0.31868131868131866,4.142857142857143,0.0,3.638959884709682,1,1.0,1.9120879120879122,4,0.4984126984126984,-0.3906911142454158,0.2855743647618071,2
2504.06821_graph,30,44,0.10114942528735632,2.933333333333333,0.0,4.729922278882891,3,0.6666666666666666,2.836842105263158,6,0.3653968253968254,-0.029858657243816058,0.6295575003004326,6
2504.07421_graph,136,223,0.024291938997821352,3.2794117647058822,0.0,6.553590901421691,28,0.23529411764705882,2.3205645161290325,5,0.6215623296830044,0.49507022049304805,0.7904534319224653,29
2507.05178_graph,90,236,0.05892634207240949,5.2444444444444445,0.0,5.921226631701389,3,0.9555555555555556,4.306429548563612,11,0.4052482085815419,0.14522822937970223,0.5538317699520109,8
2505.16410_graph,103,188,0.03578907291071769,3.650485436893204,0.0,6.148703964519754,16,0.6990291262135923,3.4072769953051645,6,0.3443482623094274,0.17045585625141868,0.6728005719113084,21
2506.03828_graph,203,316,0.015412378676291274,3.1133004926108376,0.0,7.113403014945975,16,0.5517241379310345,5.01496138996139,15,0.24216828601065055,-0.19527701616264903,0.8076368972110962,23
2504.07079_graph,37,69,0.1036036036036036,3.72972972972973,0.0,5.0005229175311126,3,0.918918918918919,3.6862745098039214,9,0.5191119691119691,0.05096606150137985,0.6431829691771753,7
2507.11988_graph,32,37,0.07459677419354839,2.3125,0.0,4.493322035092585,5,0.875,3.314814814814815,6,0.20461309523809523,-0.31334149326805405,0.5346122643624439,9
2504.08066_graph,81,143,0.0441358024691358,3.5308641975308643,0.0,5.809143042326166,4,0.8641975308641975,3.275776397515528,8,0.4500018537055574,-0.22762063725407264,0.639383290083025,10
2505.00675_graph,257,455,0.01383146887159533,3.5408560311284045,0.0,7.162138113071101,55,0.28793774319066145,2.571640133283969,7,0.2733716526518083,0.09088536362052703,0.7476799518753166,57
2507.07957_graph,37,61,0.0915915915915916,3.2972972972972974,0.0,4.75779115071432,6,0.5405405405405406,2.6526315789473682,4,0.4147420147420148,0.4386756164737526,0.6363482084985074,9
2507.10281_graph,115,171,0.02608695652173913,2.973913043478261,0.0,6.388807259705362,13,0.591304347826087,3.514486391571554,8,0.32011857707509883,-0.219269823606046,0.773128956386903,16
2503.22625_graph,185,244,0.014336075205640423,2.637837837837838,0.0,7.079260496306368,21,0.4756756756756757,4.155172413793103,11,0.35894168894168893,-0.03373160022876924,0.8421609397231402,26
